timestamp,label
2024-03-04 07:59:10.054,Sub-level 1 Start
2024-03-04 08:00:04.010,Sub-level 2 Start
2024-03-04 08:00:22.023,Sub-level 3 Start
2024-03-04 08:00:40.047,Sub-level 4 Start
2024-03-04 08:00:58.067,Sub-level 5 Start
2024-03-04 08:01:16.088,Sub-level 6 Start
2024-03-04 08:01:40.116,Sub-level 7 Start
2024-03-04 08:02:10.153,Sub-level 8 Start
2024-03-04 08:02:34.174,Sub-level 9 Start
2024-03-04 08:02:52.182,Sub-level 10 Start
2024-03-04 08:03:40.232,Sub-level 11 Start
2024-03-04 08:04:28.250,Sub-level 12 Start
2024-03-04 08:05:10.269,Sub-level 13 Start
2024-03-04 08:06:16.338,Sub-level 14 Start
2024-03-04 08:06:58.397,Sub-level 15 Start
2024-03-04 08:07:40.420,Sub-level 16 Start
2024-03-04 08:08:22.452,Sub-level 17 Start
2024-03-04 08:08:46.479,Sub-level 18 Start
2024-03-04 07:56:09.792,Sub-level 19 Start
2024-03-04 07:57:33.893,Sub-level 20 Start
2024-03-04 07:58:27.935,Sub-level 21 Start
2024-03-04 08:09:10.054,10-minute mark
