timestamp,label
2024-09-16 10:25:43.300,Sub-level 1 Start
2024-09-16 10:26:05.411,Sub-level 2 Start
2024-09-16 10:26:15.427,Sub-level 3 Start
2024-09-16 10:26:23.479,Sub-level 4 Start
2024-09-16 10:26:39.523,Sub-level 5 Start
2024-09-16 10:26:49.563,Sub-level 6 Start
2024-09-16 10:27:17.677,Sub-level 7 Start
2024-09-16 10:27:35.744,Sub-level 8 Start
2024-09-16 10:27:53.801,Sub-level 9 Start
2024-09-16 10:28:41.994,Sub-level 10 Start
2024-09-16 10:28:52.012,Sub-level 11 Start
2024-09-16 10:29:14.114,Sub-level 12 Start
2024-09-16 10:30:32.403,Sub-level 13 Start
2024-09-16 10:30:48.478,Sub-level 14 Start
2024-09-16 10:31:16.585,Sub-level 15 Start
2024-09-16 10:31:30.626,Sub-level 16 Start
2024-09-16 10:23:12.723,Sub-level 17 Start
2024-09-16 10:23:36.822,Sub-level 18 Start
2024-09-16 10:24:02.913,Sub-level 19 Start
2024-09-16 10:24:29.027,Sub-level 20 Start
2024-09-16 10:25:21.209,Sub-level 21 Start
