timestamp,label
2024-07-05 00:27:59.397,Sub-level 1 Start
2024-07-05 00:28:09.406,Sub-level 2 Start
2024-07-05 00:28:23.388,Sub-level 3 Start
2024-07-05 00:28:35.385,Sub-level 4 Start
2024-07-05 00:28:47.382,Sub-level 5 Start
2024-07-05 00:29:03.385,Sub-level 6 Start
2024-07-05 00:29:13.386,Sub-level 7 Start
2024-07-05 00:29:41.371,Sub-level 8 Start
2024-07-05 00:30:01.373,Sub-level 9 Start
2024-07-05 00:30:17.365,Sub-level 10 Start
2024-07-05 00:30:47.367,Sub-level 11 Start
2024-07-05 00:31:21.384,Sub-level 12 Start
2024-07-05 00:32:33.374,Sub-level 13 Start
2024-07-05 00:33:17.355,Sub-level 14 Start
2024-07-05 00:33:51.374,Sub-level 15 Start
2024-07-05 00:34:15.374,Sub-level 16 Start
2024-07-05 00:34:43.347,Sub-level 17 Start
2024-07-05 00:35:01.354,Sub-level 18 Start
2024-07-05 00:35:23.351,Sub-level 19 Start
2024-07-05 00:35:45.381,Sub-level 20 Start
2024-07-05 00:36:09.383,Sub-level 21 Start
2024-07-05 00:36:31.385,Sub-level 22 Start
2024-07-05 00:37:03.425,Sub-level 23 Start
2024-07-05 00:37:23.415,Sub-level 24 Start
2024-07-05 00:37:53.426,Sub-level 25 Start
