timestamp,label
2024-07-23 11:41:12.005,Sub-level 1 Start
2024-07-23 11:41:49.970,Sub-level 2 Start
2024-07-23 11:42:03.956,Sub-level 3 Start
2024-07-23 11:43:09.854,Sub-level 4 Start
2024-07-23 11:44:35.723,Sub-level 5 Start
2024-07-23 11:45:11.677,Sub-level 6 Start
2024-07-23 11:46:37.556,Sub-level 7 Start
2024-07-23 11:47:39.514,Sub-level 8 Start
2024-07-23 11:48:33.458,Sub-level 9 Start
2024-07-23 11:49:25.386,Sub-level 10 Start
2024-07-23 11:50:05.357,Sub-level 11 Start
2024-07-23 11:50:47.321,Sub-level 12 Start
