timestamp,label
2023-12-29 06:44:21.323,Sub-level 1 Start
2023-12-29 06:44:45.386,Sub-level 2 Start
2023-12-29 06:44:57.419,Sub-level 3 Start
2023-12-29 06:45:15.509,Sub-level 4 Start
2023-12-29 06:45:27.516,Sub-level 5 Start
2023-12-29 06:45:45.568,Sub-level 6 Start
2023-12-29 06:46:09.641,Sub-level 7 Start
2023-12-29 06:46:33.685,Sub-level 8 Start
2023-12-29 06:46:57.746,Sub-level 9 Start
2023-12-29 06:47:15.785,Sub-level 10 Start
2023-12-29 06:47:45.861,Sub-level 11 Start
2023-12-29 06:48:21.950,Sub-level 12 Start
2023-12-29 06:48:46.020,Sub-level 13 Start
2023-12-29 06:49:34.141,Sub-level 14 Start
2023-12-29 06:50:10.242,Sub-level 15 Start
2023-12-29 06:50:34.317,Sub-level 16 Start
2023-12-29 06:51:04.404,Sub-level 17 Start
2023-12-29 06:51:22.459,Sub-level 18 Start
2023-12-29 06:51:52.580,Sub-level 19 Start
2023-12-29 06:42:14.976,Sub-level 20 Start
2023-12-29 06:42:45.066,Sub-level 21 Start
2023-12-29 06:43:09.134,Sub-level 22 Start
2023-12-29 06:43:51.247,Sub-level 23 Start
