timestamp,label
2024-06-11 09:49:41.545,Sub-level 1 Start
2024-06-11 09:49:53.550,Sub-level 2 Start
2024-06-11 09:50:11.569,Sub-level 3 Start
2024-06-11 09:50:35.592,Sub-level 4 Start
2024-06-11 09:50:53.607,Sub-level 5 Start
2024-06-11 09:51:05.612,Sub-level 6 Start
2024-06-11 09:51:29.641,Sub-level 7 Start
2024-06-11 09:51:47.662,Sub-level 8 Start
2024-06-11 09:52:17.684,Sub-level 9 Start
2024-06-11 09:52:35.707,Sub-level 10 Start
2024-06-11 09:53:23.776,Sub-level 11 Start
2024-06-11 09:54:17.840,Sub-level 12 Start
2024-06-11 09:54:59.889,Sub-level 13 Start
2024-06-11 09:45:11.305,Sub-level 14 Start
2024-06-11 09:45:41.320,Sub-level 15 Start
2024-06-11 09:46:17.348,Sub-level 16 Start
2024-06-11 09:46:59.385,Sub-level 17 Start
2024-06-11 09:47:23.407,Sub-level 18 Start
2024-06-11 09:47:53.422,Sub-level 19 Start
2024-06-11 09:48:17.455,Sub-level 20 Start
2024-06-11 09:49:11.520,Sub-level 21 Start
